"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Guang, Bonny","SO-2","31.05m","101' 10""","SCIAC Championships","Apr 30, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","28.99m","95' 1""","SCIAC Championships","Apr 30, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","27.93m","91' 8""","SCIAC Championships","Apr 30, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","27.77m","91' 1""","SCIAC Championships","Apr 30, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","27.61m","90' 7""","SCIAC Quad Meet","Apr 17, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","27.43m","90' 0""","SCIAC Championships","Apr 30, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","26.86m","88' 1""","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","DT","2010","Outdoor"
"Brown, Lillian","JR-3","25.21m","82' 8""","SCIAC Quad Meet","Apr 17, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","24.15m","79' 3""","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","DT","2010","Outdoor"
"Guang, Bonny","SO-2","23.02m","75' 6""","Spring Break Classic","Mar 20, 2010","Athena","DT","2010","Outdoor"
