"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Kroll, Jackie",NA,"35.74m","117' 3""","2012 Pomona-Pitzer T&F Invite","Apr 14, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"34.68m","113' 9""","2012 Pomona-Pitzer T&F Invite","Apr 14, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"34.59m","113' 6""","SCIAC Quad Meet 3","Apr 7, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"34.27m","112' 5""","SDSU Aztec Track & Field Invitational","Mar 15, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"33.38m","109' 6""","2012 SCIAC Track & Field Championships","Apr 27, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"33.24m","109' 1""","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"32.55m","106' 9""","2012 SCIAC Track & Field Championships","Apr 27, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"31.85m","104' 6""","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"31.49m","103' 4""","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"29.48m","96' 9""","Rossi Relays","Feb 25, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"28.80m","94' 6""","UCSD - CPP - CMS Triangular","Feb 18, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"28.76m","94' 4""","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","HT","2012","Outdoor"
"Kroll, Jackie",NA,"12.15m","39' 10""","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","HT","2012","Outdoor"
