"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Molineux, Evan","SO-2","4:16.96","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Lombardo, Alex","FR-1","4:17.45","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Jones, Justin","JR-3","4:23.91","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Ryan, Garrett","FR-1","4:27.31","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Van Houten, Lucas","SR-4","4:29.92","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Robinson, Tyler","SR-4","4:31.16","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Briskman, Jonathan","SR-4","4:33.59","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Briskman, Colin","SR-4","4:37.45","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Mauro, Alex","JR-3","4:39.12","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Clausen, Will","JR-3","4:42.43","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
"Rubin, Ari","FR-1","4:44.74","2014 Pomona-Pitzer T&F All Comers","Feb 15, 2014","Stag","Mile","2014","Outdoor"
