"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Cameron-Lewis, Aiyanna","FR-1","55.96","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","400","2015","Outdoor"
"Cameron-Lewis, Aiyanna","FR-1","56.04","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400","2015","Outdoor"
"Cameron-Lewis, Aiyanna","FR-1","56.32","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400","2015","Outdoor"
"Cameron-Lewis, Aiyanna","FR-1","56.38","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400","2015","Outdoor"
"Cameron-Lewis, Aiyanna","FR-1","56.50","SCIAC Multi Dual","Mar 7, 2015","Athena","400","2015","Outdoor"
"Cameron-Lewis, Aiyanna","FR-1","57.53","Bryan Clay Invitational","Apr 17, 2015","Athena","400","2015","Outdoor"
"Cameron-Lewis, Aiyanna","FR-1","57.57","NCAA Division III Outdoor Track & Field Championships","May 21, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","58.11","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400","2015","Outdoor"
"Tarleton, Hanna","SO-2","58.55","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","58.94","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","58.95","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","400","2015","Outdoor"
"Mejia, Carmen","SO-2","59.09","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","59.13","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","59.88","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","1:00.62","Westmont Collegiate Classic","Mar 21, 2015","Athena","400","2015","Outdoor"
"Jablonski, Brina","FR-1","1:01.28","SCIAC Multi Dual","Mar 7, 2015","Athena","400","2015","Outdoor"
"Arnett, Alexandra","JR-3","1:02.23","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","400","2015","Outdoor"
"Woods, Laura","FR-1","1:02.39","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400","2015","Outdoor"
"Woods, Laura","FR-1","1:02.52","Bryan Clay Invitational","Apr 17, 2015","Athena","400","2015","Outdoor"
"Woods, Laura","FR-1","1:03.68","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Athena","400","2015","Outdoor"
"Woods, Laura","FR-1","1:03.94","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Athena","400","2015","Outdoor"
"Woods, Laura","FR-1","1:04.41","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400","2015","Outdoor"
"Monahan, Stephanie","SO-2","1:04.80","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400","2015","Outdoor"
"Monahan, Stephanie","SO-2","1:04.94","2015 SCIAC Track & Field Championships","May 1, 2015","Athena","400","2015","Outdoor"
"Liu, Mira","FR-1","1:06.53","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Athena","400","2015","Outdoor"
"Liu, Mira","FR-1","1:07.61","SCIAC Multi Dual","Mar 7, 2015","Athena","400","2015","Outdoor"
"Liu, Mira","FR-1","1:09.05","2015 Pomona-Pitzer All Comers","Feb 21, 2015","Athena","400","2015","Outdoor"
