"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Lee, Liz","SO-2","5.33m","17' 6""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",0.5,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.29m","17' 4.25""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","5.20m","17' 0.75""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015",0.6,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","5.15m","16' 10.75""","Bryan Clay Invitational","Apr 17, 2015",0,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","5.15m","16' 10.75""","2015 SCIAC Track & Field Championships","May 1, 2015",-0.1,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.13m","16' 10""","Claremont Classic Multi","May 7, 2015",0.9,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.06m","16' 7.25""","2015 SCIAC Track & Field Championships","May 1, 2015",0.3,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.05m","16' 7""","Westmont Collegiate Classic","Mar 21, 2015",0,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","5.03m","16' 6""","2015 SCIAC Track & Field Championships","May 1, 2015",0.5,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.03m","16' 6""","2015 SCIAC Track & Field Championships","May 1, 2015",0.5,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.03m","16' 6""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",-0.4,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","5.01m","16' 5.25""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015",0.3,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","5.01m","16' 5.25""","2015 SCIAC Track & Field Championships","May 1, 2015",0,"Athena","LJ","2015","Outdoor"
"Hollshwandner, Amy","SO-2","5.00m","16' 5""","2015 SCIAC Track & Field Championships","May 1, 2015",-0.1,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","5.00m","16' 5""","SCIAC Multi Dual","Mar 7, 2015",-1.1,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.98m","16' 4.25""","2015 SCIAC Track & Field Championships","May 1, 2015",1.6,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.94m","16' 2.5""","SCIAC Multi Dual","Mar 7, 2015",0.6,"Athena","LJ","2015","Outdoor"
"Lee, Liz","SO-2","4.93m","16' 2.25""","2015 SCIAC Track & Field Championships","May 1, 2015",-0.8,"Athena","LJ","2015","Outdoor"
"Ng, Jessica","SO-2","4.93m","16' 2.25""","SCIAC Multi Dual","Mar 7, 2015",0.4,"Athena","LJ","2015","Outdoor"
