"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Perrella, Sam","SR-4","52.99m","173' 10""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","52.22m","171' 4""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","HT","2015","Outdoor"
"Perrella, Sam","SR-4","51.74m","169' 9""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","51.62m","169' 4""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","51.58m","169' 3""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.83m","166' 9""","SCIAC Multi Dual","Mar 7, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.74m","166' 6""","Pomona-Pitzer/Whittier/La Verne/Claremont-M-S","Mar 28, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.67m","166' 3""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.66m","166' 2""","2015 Pomona-Pitzer T&F Invite","Apr 4, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.65m","166' 2""","SCIAC Multi Dual","Mar 7, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.53m","165' 9""","Occidental Invitational (College/University)","May 9, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.47m","165' 7""","2015 SCIAC Track & Field Championships","May 1, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.47m","165' 7""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.45m","165' 6""","SCIAC Multi Dual","Mar 7, 2015","Stag","HT","2015","Outdoor"
"Rich, Alex","JR-3","50.39m","165' 4""","Caltech/Cal Lu/Chapman/CMS/Whittier","Apr 11, 2015","Stag","HT","2015","Outdoor"
