"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Maslan, Nicki","SR-4","5:29.98","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Shepard, Anna","JR-3","5:33.07","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Fuelling, Meghan","SR-4","5:33.27","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Marsh, Natalie","FR-1","5:34.34","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Stanislaw, Lauren","SO-2","5:41.87","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Martin, Malea","FR-1","5:44.77","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Su, Emma","SO-2","5:46.45","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Msall, Matilda","FR-1","5:50.21","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Huen, Melanie","SR-4","5:51.84","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
"Snider, Leah","SR-4","6:40.39","2016 Pomona-Pitzer Collegiate All Comers","Feb 20, 2016","Athena","Mile","2016","Outdoor"
