"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Gallardo, Mikaela","JR-3","33.74m","110' 8""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","32.63m","107' 1""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","32.53m","106' 9""","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","32.35m","106' 2""","Titan Twilight","May 5, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","32.29m","105' 11""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","32.26m","105' 10""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","31.71m","104' 0""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","31.42m","103' 1""","22nd Rossi Relays","Feb 24, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","31.39m","103' 0""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","31.26m","102' 7""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","31.25m","102' 6""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","31.20m","102' 4""","Titan Twilight","May 5, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","31.15m","102' 2""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","31.14m","102' 2""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","31.12m","102' 1""","Redlands Invitational","Mar 16, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","31.08m","102' 0""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","31.05m","101' 10""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","31.04m","101' 10""","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","30.96m","101' 7""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","30.85m","101' 2""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","30.72m","100' 9""","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","30.69m","100' 8""","Titan Twilight","May 5, 2018","Athena","JT","2018","Outdoor"
"Gallardo, Mikaela","JR-3","30.48m","100' 0""","SCIAC Multi-Dual #1","Mar 3, 2018","Athena","JT","2018","Outdoor"
"Gallop, Amanda","SO-2","30.48m","100' 0""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Athena","JT","2018","Outdoor"
