"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Peterson, Reese","SO-2","14.03m","46' 0.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.94m","45' 9""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.79m","45' 3""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.71m","44' 11.75""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.65m","44' 9.5""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.42m","44' 0.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","13.39m","43' 11.25""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.36m","43' 10""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.33m","43' 9""","2018 Pomona-Pitzer T&F Invite","Apr 7, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.33m","43' 9""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","13.12m","43' 0.5""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.03m","42' 9""","Redlands Invitational","Mar 16, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.03m","42' 9""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","13.01m","42' 8.25""","Redlands Invitational","Mar 16, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.97m","42' 6.75""","Redlands Invitational","Mar 16, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.95m","42' 6""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","12.91m","42' 4.25""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.88m","42' 3.25""","2018 Oxy Invitational (College/University)","May 12, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.88m","42' 3.25""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.81m","42' 0.5""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.81m","42' 0.5""","2018 Oxy Invitational (College/University)","May 12, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","12.80m","42' 0""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","12.77m","41' 10.75""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.70m","41' 8""","SCIAC Multi Dual #3 @ CMS","Apr 14, 2018","Stag","SP","2018","Outdoor"
"Maltz, Andrew","FR-1","12.69m","41' 7.75""","SCIAC Outdoor Track & Field Championships","Apr 27, 2018","Stag","SP","2018","Outdoor"
"Peterson, Reese","SO-2","12.64m","41' 5.75""","SCIAC Multi-Dual #2 at Whittier","Mar 31, 2018","Stag","SP","2018","Outdoor"
