"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"McGarvey, Dylan","SO-2",16.31,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",0.9,"Stag","110H","2019","Outdoor"
"Rainaldi, Ross","SO-2",16.35,"SCIAC Track & Field Conference Championships","Apr 27, 2019",0.8,"Stag","110H","2019","Outdoor"
"Rainaldi, Ross","SO-2",16.38,"Claremont Classic Hep/Dec Multis Meet","May 8, 2019",0.7,"Stag","110H","2019","Outdoor"
"McGarvey, Dylan","SO-2",16.39,"SCIAC Track & Field Conference Championships","Apr 27, 2019",0.8,"Stag","110H","2019","Outdoor"
"Rainaldi, Ross","SO-2",16.52,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",0.9,"Stag","110H","2019","Outdoor"
"McGarvey, Dylan","SO-2",16.53,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.1,"Stag","110H","2019","Outdoor"
"McGarvey, Dylan","SO-2",16.79,"Redlands Invitational","Mar 15, 2019",-1.4,"Stag","110H","2019","Outdoor"
"McGarvey, Dylan","SO-2",16.84,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",1.1,"Stag","110H","2019","Outdoor"
"Southerland, Finn","SR-4",17.23,"SCIAC Track & Field Conference Championships","Apr 27, 2019",0.8,"Stag","110H","2019","Outdoor"
"McGarvey, Dylan","SO-2",17.26,"23rd Rossi Relays","Feb 23, 2019",1.3,"Stag","110H","2019","Outdoor"
"Southerland, Finn","SR-4",17.32,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.1,"Stag","110H","2019","Outdoor"
"Southerland, Finn","SR-4",17.49,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",0.4,"Stag","110H","2019","Outdoor"
"Southerland, Finn","SR-4",17.73,"SCIAC Dual Redlands","Mar 2, 2019",-1,"Stag","110H","2019","Outdoor"
"Southerland, Finn","SR-4",17.76,"23rd Rossi Relays","Feb 23, 2019",0.5,"Stag","110H","2019","Outdoor"
