"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Cockburn, Jamie","FR-1",21.77,"Redlands Final Qualifying Meet","May 15, 2019",1.9,"Stag","200","2019","Outdoor"
"Bethurem, Corbin","SR-4",21.8,"SCIAC Track & Field Conference Championships","Apr 27, 2019",1.8,"Stag","200","2019","Outdoor"
"Cockburn, Jamie","FR-1",21.89,"SCIAC Track & Field Conference Championships","Apr 27, 2019",1.8,"Stag","200","2019","Outdoor"
"Bethurem, Corbin","SR-4",22.07,"2019 Pomona-Pitzer Invitational (College/Univ)","Apr 6, 2019",0.5,"Stag","200","2019","Outdoor"
"Cockburn, Jamie","FR-1",22.22,"Beach Invitational","Apr 19, 2019",1.3,"Stag","200","2019","Outdoor"
"Cockburn, Jamie","FR-1",22.36,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",0.9,"Stag","200","2019","Outdoor"
"Cockburn, Jamie","FR-1",22.48,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.2,"Stag","200","2019","Outdoor"
"Cockburn, Jamie","FR-1",22.54,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",0.4,"Stag","200","2019","Outdoor"
"Bethurem, Corbin","SR-4",22.62,"41st Annual Aztec Open","Mar 21, 2019",-1.9,"Stag","200","2019","Outdoor"
"Guillory, Matthew","SR-4",22.65,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",-2.5,"Stag","200","2019","Outdoor"
"Bethurem, Corbin","SR-4",22.71,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.6,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",22.77,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",0.9,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",22.99,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.6,"Stag","200","2019","Outdoor"
"Guillory, Matthew","SR-4",23,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.6,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",23.04,"2019 Pomona-Pitzer Invitational (College/Univ)","Apr 6, 2019",0,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",23.1,"SCIAC Track & Field Conference Championships","Apr 27, 2019",1.2,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",23.11,"Redlands Invitational","Mar 15, 2019",0.6,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",23.17,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",-2.5,"Stag","200","2019","Outdoor"
"Guillory, Matthew","SR-4",23.22,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",1.9,"Stag","200","2019","Outdoor"
"Guillory, Matthew","SR-4",23.26,"41st Annual Aztec Open","Mar 21, 2019",-1.9,"Stag","200","2019","Outdoor"
"Guillory, Matthew","SR-4",23.3,"Redlands Invitational","Mar 15, 2019",0.4,"Stag","200","2019","Outdoor"
"LaRovere, Christopher","FR-1",23.31,"SCIAC Multi-Dual #2","Mar 30, 2019",1.3,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",23.43,"41st Annual Aztec Open","Mar 21, 2019",1.7,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",23.48,"41st Annual Aztec Open","Mar 21, 2019",1.7,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",23.52,"SCIAC Multi-Dual #2","Mar 30, 2019",-0.6,"Stag","200","2019","Outdoor"
"Fernandez, Alisandro","JR-3",23.56,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",-2.5,"Stag","200","2019","Outdoor"
"LaRovere, Christopher","FR-1",23.58,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",-2.5,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",23.6,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",2,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",23.6,"Redlands Invitational","Mar 15, 2019",0.7,"Stag","200","2019","Outdoor"
"Fernandez, Alisandro","JR-3",23.82,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",1.7,"Stag","200","2019","Outdoor"
"LaRovere, Christopher","FR-1",23.85,"Redlands Invitational","Mar 15, 2019",0.6,"Stag","200","2019","Outdoor"
"Schulz, Connor","SO-2",23.9,"Redlands Invitational","Mar 15, 2019",0.3,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",23.93,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",-1.2,"Stag","200","2019","Outdoor"
"LaRovere, Christopher","FR-1",23.94,"41st Annual Aztec Open","Mar 21, 2019",1.7,"Stag","200","2019","Outdoor"
"Henderson, Carter","SO-2",23.97,"SCIAC Dual Redlands","Mar 2, 2019",-2.5,"Stag","200","2019","Outdoor"
"Addison, Daniel","SO-2",24.07,"41st Annual Aztec Open","Mar 21, 2019",0.5,"Stag","200","2019","Outdoor"
"Schulz, Connor","SO-2",24.08,"SCIAC Multi-Dual #2","Mar 30, 2019",1.3,"Stag","200","2019","Outdoor"
"Schulz, Connor","SO-2",24.11,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",1.3,"Stag","200","2019","Outdoor"
"Sojico, Henry","SO-2",24.31,"SCIAC Dual Redlands","Mar 2, 2019",-2.5,"Stag","200","2019","Outdoor"
"Fernandez, Alisandro","JR-3",24.31,"SCIAC Dual Redlands","Mar 2, 2019",-2.5,"Stag","200","2019","Outdoor"
"McGarvey, Dylan","SO-2",24.74,"SCIAC Multi-Dual #2","Mar 30, 2019",1.3,"Stag","200","2019","Outdoor"
"McGarvey, Dylan","SO-2",24.84,"SCIAC Multi Dual 3 (Oxy, P-P, CHU, CMS, CLU)","Apr 13, 2019",1.2,"Stag","200","2019","Outdoor"
"McGarvey, Dylan","SO-2",25.15,"2019 Pomona-Pitzer Collegiate All-Comers","Feb 16, 2019",1.7,"Stag","200","2019","Outdoor"
