"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Mknelly, Bailey","JR-3","1.53m","5' 0.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.52m","4' 11.75""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.52m","4' 11.75""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Egerter, Aubrey","JR-3","1.48m","4' 10.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.48m","4' 10.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"DelVecchio, Caroline","FR-1","1.47m","4' 9.75""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.47m","4' 9.75""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.47m","4' 9.75""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.43m","4' 8.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Egerter, Aubrey","JR-3","1.43m","4' 8.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.42m","4' 7.75""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.42m","4' 7.75""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"DelVecchio, Caroline","FR-1","1.42m","4' 7.75""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.38m","4' 6.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Egerter, Aubrey","JR-3","1.38m","4' 6.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Fascetti, Ava","FR-1","1.37m","4' 6""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"DelVecchio, Caroline","FR-1","1.37m","4' 6""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Fascetti, Ava","FR-1","1.37m","4' 6""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.37m","4' 6""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","HJ","2020","Outdoor"
"Mknelly, Bailey","JR-3","1.37m","4' 6""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Egerter, Aubrey","JR-3","1.33m","4' 4.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
"Fascetti, Ava","FR-1","1.32m","4' 4""","Rossi Relays","Feb 22, 2020","Athena","HJ","2020","Outdoor"
"Fascetti, Ava","FR-1","1.32m","4' 4""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","HJ","2020","Outdoor"
"Fascetti, Ava","FR-1","1.28m","4' 2.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","HJ","2020","Outdoor"
