"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Gallop, Amanda","SR-4","10.73m","35' 2.5""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Gallop, Amanda","SR-4","10.53m","34' 6.75""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Gallop, Amanda","SR-4","10.21m","33' 6""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Uwajeh, Sobechukwu","SO-2","10.08m","33' 1""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","10.04m","32' 11.25""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","10.00m","32' 9.75""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.99m","32' 9.5""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Gallop, Amanda","SR-4","9.95m","32' 7.75""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","9.92m","32' 6.5""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","9.89m","32' 5.5""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","9.86m","32' 4.25""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","9.81m","32' 2.25""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Morelan, Marika","SR-4","9.77m","32' 0.75""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.65m","31' 8""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.63m","31' 7.25""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.41m","30' 10.5""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.30m","30' 6.25""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.24m","30' 3.75""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.11m","29' 10.75""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Grossman, Sophie","FR-1","9.09m","29' 10""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Brown , Kalah","FR-1","9.06m","29' 8.75""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Brown , Kalah","FR-1","8.39m","27' 6.5""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","SP","2020","Outdoor"
"Brown , Kalah","FR-1","8.39m","27' 6.5""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Brown , Kalah","FR-1","8.38m","27' 6""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","SP","2020","Outdoor"
"Brown , Kalah","FR-1","8.33m","27' 4""","Rossi Relays","Feb 22, 2020","Athena","SP","2020","Outdoor"
"Brown , Kalah","FR-1","8.24m","27' 0.5""","2020 Pomona-Pitzer Collegiate All Comers","Feb 15, 2020","Athena","SP","2020","Outdoor"
"Uwajeh, Sobechukwu","SO-2","7.95m","26' 1""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Uwajeh, Sobechukwu","SO-2","7.82m","25' 8""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
"Uwajeh, Sobechukwu","SO-2","7.48m","24' 6.5""","SCIAC Multi Dual WC/OXY/CMS/CU/CIT","Mar 7, 2020","Athena","SP","2020","Outdoor"
