"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Pick, Oliver","SO-2","8:33.96","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Sage, Adam","JR-3","8:37.99","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Battaglia, Noah","SR-4","8:50.40","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Blelloch, Andrew","SO-2","8:51.80","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Cohan, Adam","JR-3","8:55.84","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Gomez De la Vega, Agustin","SO-2","8:56.65","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Krishnan, Vibhu","FR-1","9:04.92","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Batra, Raja","JR-3","9:07.13","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Fajardo, Daniel","SO-2","9:09.60","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"O'Neill, Declan","SR-4","9:10.18","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
"Carney, Quinten","FR-1","9:55.72","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","3000","2023","Outdoor"
