"Athlete","Year","Mark","Conv","Meet","Meet_Date","Team","Event","Season","Location"
"Bowman, Jason","SO-2","43.56m","142' 11""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","43.24m","141' 10""","APU Franson Last Chance","May 12, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","42.80m","140' 5""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","42.21m","138' 6""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","41.93m","137' 7""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","41.48m","136' 1""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","41.46m","136' 0""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","41.10m","134' 10""","APU Franson Last Chance","May 12, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","40.87m","134' 1""","2023 Redlands Final Qualifier","May 17, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","40.85m","134' 0""","APU Franson Last Chance","May 12, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","40.55m","133' 0""","2023 Redlands Final Qualifier","May 17, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","40.52m","132' 11""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","40.25m","132' 1""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","40.05m","131' 5""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","39.86m","130' 9""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","39.38m","129' 2""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","39.23m","128' 8""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","39.17m","128' 6""","2023 Redlands Final Qualifier","May 17, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","39.15m","128' 5""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","38.91m","127' 8""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","38.68m","126' 11""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","38.43m","126' 1""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","37.87m","124' 3""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","37.82m","124' 1""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","37.66m","123' 7""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","37.63m","123' 5""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","37.63m","123' 5""","APU Franson Last Chance","May 12, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","37.49m","123' 0""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","37.47m","122' 11""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","37.30m","122' 4""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","37.22m","122' 1""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","37.16m","121' 11""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","37.16m","121' 11""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","37.16m","121' 11""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","37.10m","121' 9""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","37.08m","121' 8""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","37.04m","121' 6""","APU Franson Last Chance","May 12, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","36.79m","120' 8""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","36.70m","120' 5""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","36.60m","120' 1""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","36.58m","120' 0""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","36.40m","119' 5""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","36.38m","119' 4""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","36.36m","119' 3""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","36.29m","119' 1""","APU Franson Last Chance","May 12, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","36.28m","119' 0""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","36.21m","118' 9""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","36.16m","118' 8""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","36.12m","118' 6""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","36.01m","118' 2""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","36.01m","118' 2""","SCIAC Multi Dual 1 CIT, CLU, CMS, UR","Mar 4, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","35.97m","118' 0""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","35.86m","117' 8""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","35.86m","117' 8""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","35.83m","117' 7""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","35.77m","117' 4""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","35.72m","117' 2""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","35.62m","116' 10""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","35.60m","116' 9""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","35.53m","116' 7""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","35.36m","116' 0""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","35.36m","116' 0""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","35.26m","115' 8""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Osborne, Ian","FR-1","35.25m","115' 8""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","35.22m","115' 7""","Redlands Invitational (Collegiate)","Mar 17, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","35.21m","115' 6""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","35.15m","115' 4""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","35.02m","114' 11""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","34.94m","114' 7""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","34.91m","114' 6""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","34.75m","114' 0""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","34.72m","113' 11""","2023 SCIAC T&F Championships","Apr 29, 2023","Stag","DT","2023","Outdoor"
"Kakani, Sarath","SO-2","34.69m","113' 10""","SCIAC Multi Dual 2 CIT, CMS, Oxy, PP, CU","Apr 1, 2023","Stag","DT","2023","Outdoor"
"O'Keefe, Logan","SO-2","34.68m","113' 9""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
"Bowman, Jason","SO-2","34.68m","113' 9""","2023 Pomona-Pitzer Collegiate All-Comers","Feb 18, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","34.61m","113' 6""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Kakani, Vineeth","SO-2","34.56m","113' 5""","2023 Pomona-Pitzer T&F Invite","Apr 8, 2023","Stag","DT","2023","Outdoor"
"Bacon-Gershman, Ezra","SR-4","34.43m","112' 11""","SCIAC Multi Dual #3 CMS/CIT/ULV/WCU","Apr 15, 2023","Stag","DT","2023","Outdoor"
