Athlete,Year,Mark,Conv,Meet,Meet_Date,Team,Event,Season,Location
"Guang, Bonny",SO-2,31.05m,"101' 10""",SCIAC Championships,"Apr 30, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,28.99m,"95' 1""",SCIAC Championships,"Apr 30, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,27.93m,"91' 8""",SCIAC Championships,"Apr 30, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,27.77m,"91' 1""",SCIAC Championships,"Apr 30, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,27.61m,"90' 7""",SCIAC Quad Meet,"Apr 17, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,27.43m,"90' 0""",SCIAC Championships,"Apr 30, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,26.86m,"88' 1""",Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",Athena,DT,2010,Outdoor
"Brown, Lillian",JR-3,25.21m,"82' 8""",SCIAC Quad Meet,"Apr 17, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,24.15m,"79' 3""",Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",Athena,DT,2010,Outdoor
"Guang, Bonny",SO-2,23.02m,"75' 6""",Spring Break Classic,"Mar 20, 2010",Athena,DT,2010,Outdoor
"Heffernan, Grant",JR-3,49.68m,"163' 0""",Oxy Invitational,"May 8, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,49.39m,"162' 0""",SCIAC Quad Meet,"Apr 17, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,48.76m,"160' 0""",Cal State LA Last Chance Qualifier,"May 15, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,48.69m,"159' 9""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,48.03m,"157' 7""",4 Way Scoring Meet,"Feb 20, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,47.68m,"156' 5""",2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,47.29m,"155' 2""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,47.24m,"155' 0""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,45.63m,"149' 8""",Spring Break Classic,"Mar 20, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,45.55m,"149' 5""",Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,45.26m,"148' 6""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,44.70m,"146' 8""",Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,42.96m,"140' 11""",Spring Break Classic,"Mar 20, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,42.90m,"140' 9""",Redlands-CMS-CLU-CIT Quad Meet,"Apr 3, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,42.48m,"139' 4""",Rossi Relays,"Feb 27, 2010",Stag,DT,2010,Outdoor
"Heffernan, Grant",JR-3,42.18m,"138' 5""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,42.16m,"138' 4""",2010 Pomona-Pitzer Track & Field Invite (Invited Colleges),"Apr 10, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,41.81m,"137' 2""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,41.56m,"136' 4""",SCIAC Quad Meet,"Apr 17, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,41.30m,"135' 6""",4 Way Scoring Meet,"Feb 20, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,40.73m,"133' 7""",Cal/Nevada Collegiate Championship,"Mar 27, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,40.40m,"132' 6""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,39.21m,"128' 8""",SCIAC Championships,"Apr 30, 2010",Stag,DT,2010,Outdoor
"Franz, Noah",SR-4,38.01m,"124' 8""",Cal Lu - CMS - La Verne - Whittier,"Mar 6, 2010",Stag,DT,2010,Outdoor
"Pittman, Ryan",SR-4,35.89m,"117' 9""",Claremont Classic Multi,"May 13, 2010",Stag,DT,2010,Outdoor
"Pittman, Ryan",SR-4,34.30m,"112' 6""",CSUN Multi's,"Mar 18, 2010",Stag,DT,2010,Outdoor
"Pittman, Ryan",SR-4,33.76m,"110' 9""",CSUN Multi's,"Mar 18, 2010",Stag,DT,2010,Outdoor
"Pittman, Ryan",SR-4,31.93m,"104' 9""",CSUN Multi's,"Mar 18, 2010",Stag,DT,2010,Outdoor
"Brown, Lillian",SR-4,28.13m,"92' 3""",Univ. of Redlands SCIAC Quad,"Apr 2, 2011",Athena,DT,2011,Outdoor
"Brown, Lillian",SR-4,27.92m,"91' 7""",UC-Irvine Spring Break Invite,"Mar 19, 2011",Athena,DT,2011,Outdoor
"Brown, Lillian",SR-4,27.50m,"90' 3""",UC-Irvine Spring Break Invite,"Mar 19, 2011",Athena,DT,2011,Outdoor
"Brown, Lillian",SR-4,27.20m,"89' 3""",UC-Irvine Spring Break Invite,"Mar 19, 2011",Athena,DT,2011,Outdoor
"Heffernan, Grant",SR-4,48.39m,"158' 9""",2011 Pomona-Pitzer Invite,"Apr 9, 2011",Stag,DT,2011,Outdoor
"Heffernan, Grant",SR-4,45.93m,"150' 8""",2011 SCIAC Track & Field Championships,"Apr 29, 2011",Stag,DT,2011,Outdoor
"Heffernan, Grant",SR-4,45.75m,"150' 1""",Univ. of Redlands SCIAC Quad,"Apr 2, 2011",Stag,DT,2011,Outdoor
"Heffernan, Grant",SR-4,45.11m,"148' 0""",2011 SCIAC Track & Field Championships,"Apr 29, 2011",Stag,DT,2011,Outdoor
"Heffernan, Grant",SR-4,45.02m,"147' 8""",Caltech/CMS/La Verne/Pomona-Pitzer,"Apr 16, 2011",Stag,DT,2011,Outdoor
