"Athlete","Year","Time","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Colton, Reny","SR",12.84,"SCIAC Championships","Apr 30, 2010",-1.3,"Athena","100","2010","Outdoor"
"Sheldon, Madeline","FR-1",13.02,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",0.5,"Athena","100","2010","Outdoor"
"Sheldon, Madeline","FR-1",13.05,"SCIAC Quad Meet","Apr 17, 2010",1.2,"Athena","100","2010","Outdoor"
"Sheldon, Madeline","FR-1",13.07,"Spring Break Classic","Mar 20, 2010",0.3,"Athena","100","2010","Outdoor"
"Colton, Reny","SR",13.08,"SCIAC Championships","Apr 30, 2010",-1.9,"Athena","100","2010","Outdoor"
"Sheldon, Madeline","FR-1",13.17,"SCIAC Championships","Apr 30, 2010",-1.9,"Athena","100","2010","Outdoor"
"Sheldon, Madeline","FR-1",13.24,"4 Way Scoring Meet","Feb 20, 2010",1.3,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.42,"SCIAC Quad Meet","Apr 17, 2010",1.2,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.43,"SCIAC Championships","Apr 30, 2010",0.5,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.48,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",0.5,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.51,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",-0.2,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.66,"Spring Break Classic","Mar 20, 2010",0.3,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.81,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",0.9,"Athena","100","2010","Outdoor"
"Chong, Tina","JR-3",13.86,"4 Way Scoring Meet","Feb 20, 2010",1.3,"Athena","100","2010","Outdoor"
"Nishball, Rachel","SR-4",13.92,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",0.1,"Athena","100","2010","Outdoor"
"Zouai, Manon","",14.16,"SCIAC Quad Meet","Apr 17, 2010",0.4,"Athena","100","2010","Outdoor"
"Zouai, Manon","",14.16,"Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010",0.1,"Athena","100","2010","Outdoor"
"Nishball, Rachel","SR-4",14.24,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1,"Athena","100","2010","Outdoor"
"Nishball, Rachel","SR-4",14.25,"2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010",0.7,"Athena","100","2010","Outdoor"
"Nishball, Rachel","SR-4",14.34,"Spring Break Classic","Mar 20, 2010",0.3,"Athena","100","2010","Outdoor"
"Chen, Diana","FR-1",14.35,"4 Way Scoring Meet","Feb 20, 2010",1.3,"Athena","100","2010","Outdoor"
"Zouai, Manon","",14.42,"Spring Break Classic","Mar 20, 2010",0.3,"Athena","100","2010","Outdoor"
"Nishball, Rachel","SR-4",14.47,"4 Way Scoring Meet","Feb 20, 2010",1.3,"Athena","100","2010","Outdoor"
"Zouai, Manon","",14.5,"Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010",1,"Athena","100","2010","Outdoor"
