"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Wyatt, Laura","SR","4:53.42","Occidental Distance Carnival","Mar 12, 2010","Athena","1500","2010","Outdoor"
"Wyatt, Laura","SR","4:55.44","SCIAC Quad Meet","Apr 17, 2010","Athena","1500","2010","Outdoor"
"Wyatt, Laura","SR","4:56.25","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","1500","2010","Outdoor"
"Wyatt, Laura","SR","4:59.83","Cal/Nevada Collegiate Championship","Mar 27, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:01.96","Occidental Distance Carnival","Mar 12, 2010","Athena","1500","2010","Outdoor"
"Funk, Courtney","SR-4","5:02.34","SCIAC Championships","Apr 30, 2010","Athena","1500","2010","Outdoor"
"Funk, Courtney","SR-4","5:03.94","SCIAC Quad Meet","Apr 17, 2010","Athena","1500","2010","Outdoor"
"Funk, Courtney","SR-4","5:05.01","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","1500","2010","Outdoor"
"Funk, Courtney","SR-4","5:05.45","Occidental Distance Carnival","Mar 12, 2010","Athena","1500","2010","Outdoor"
"Gushue, Alison","SO-2","5:06.77","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","1500","2010","Outdoor"
"Garton, Kelly","SO-2","5:07.43","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:07.58","4 Way Scoring Meet","Feb 20, 2010","Athena","1500","2010","Outdoor"
"Funk, Courtney","SR-4","5:09.67","4 Way Scoring Meet","Feb 20, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:09.85","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","1500","2010","Outdoor"
"Funk, Courtney","SR-4","5:10.38","SCIAC Championships","Apr 30, 2010","Athena","1500","2010","Outdoor"
"Zimmerling, Aubrey","SR","5:10.87","SCIAC Championships","Apr 30, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:10.92","SCIAC Championships","Apr 30, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:11.23","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:12.54","SCIAC Championships","Apr 30, 2010","Athena","1500","2010","Outdoor"
"Bush, Isabel","SO-2","5:12.77","Occidental Distance Carnival","Mar 12, 2010","Athena","1500","2010","Outdoor"
"Rueschenberg, Allysa","SR-4","5:12.90","Occidental Distance Carnival","Mar 12, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:14.00","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","1500","2010","Outdoor"
"Bush, Isabel","SO-2","5:15.35","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","1500","2010","Outdoor"
"Zimmerling, Aubrey","SR","5:15.56","SCIAC Championships","Apr 30, 2010","Athena","1500","2010","Outdoor"
"Gushue, Alison","SO-2","5:15.72","SCIAC Quad Meet","Apr 17, 2010","Athena","1500","2010","Outdoor"
"Rueschenberg, Allysa","SR-4","5:15.84","4 Way Scoring Meet","Feb 20, 2010","Athena","1500","2010","Outdoor"
"Zimmerling, Aubrey","SR","5:16.45","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","1500","2010","Outdoor"
"Rueschenberg, Allysa","SR-4","5:17.71","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","1500","2010","Outdoor"
"Crawford, Kate","FR-1","5:20.20","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","1500","2010","Outdoor"
"Hilles, Emery","SO-2","5:21.13","SCIAC Quad Meet","Apr 17, 2010","Athena","1500","2010","Outdoor"
"Rueschenberg, Allysa","SR-4","5:23.35","SCIAC Quad Meet","Apr 17, 2010","Athena","1500","2010","Outdoor"
