"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Lundell, Carmen","FR-1","1:03.55","SCIAC Championships","Apr 30, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:04.06","SCIAC Championships","Apr 30, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:04.16","Oxy Invitational","May 8, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:04.26","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:04.32","SCIAC Quad Meet","Apr 17, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:04.51","Cal State LA Last Chance Qualifier","May 15, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:04.84","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:05.03","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:05.40","SCIAC Championships","Apr 30, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:05.74","Cal/Nevada Collegiate Championship","Mar 27, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:05.85","SCIAC Quad Meet","Apr 17, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:06.08","Oxy Invitational","May 8, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:06.67","SCIAC Championships","Apr 30, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:07.27","Spring Break Classic","Mar 20, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:07.42","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:08.15","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","400H","2010","Outdoor"
"Lundell, Carmen","FR-1","1:08.40","Rossi Relays","Feb 27, 2010","Athena","400H","2010","Outdoor"
"Young, Rebecca","SO-2","1:08.89","4 Way Scoring Meet","Feb 20, 2010","Athena","400H","2010","Outdoor"
"Lewis, Sarah","SR-4","1:10.63","Spring Break Classic","Mar 20, 2010","Athena","400H","2010","Outdoor"
"Lewis, Sarah","SR-4","1:11.29","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Athena","400H","2010","Outdoor"
"Lewis, Sarah","SR-4","1:11.90","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Athena","400H","2010","Outdoor"
"Lewis, Sarah","SR-4","1:12.53","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Athena","400H","2010","Outdoor"
"Lewis, Sarah","SR-4","1:13.37","Rossi Relays","Feb 27, 2010","Athena","400H","2010","Outdoor"
"Lewis, Sarah","SR-4","1:13.77","4 Way Scoring Meet","Feb 20, 2010","Athena","400H","2010","Outdoor"
