"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Dinolov, Georgi","JR-3","3:53.52","Oxy Invitational","May 8, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","3:56.44","SCIAC Championships","Apr 30, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","3:57.18","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","1500","2010","Outdoor"
"Doran, Zach","FR-1","3:57.29","Oxy Invitational","May 8, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","3:57.50","SCIAC Quad Meet","Apr 17, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","3:57.55","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","1500","2010","Outdoor"
"Doran, Zach","FR-1","3:57.86","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","3:58.10","NCC Gregory Invitational","May 20, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","3:58.14","Occidental Distance Carnival","Mar 12, 2010","Stag","1500","2010","Outdoor"
"Doran, Zach","FR-1","3:59.41","SCIAC Championships","Apr 30, 2010","Stag","1500","2010","Outdoor"
"Doran, Zach","FR-1","4:00.03","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","1500","2010","Outdoor"
"Chasan, Quinn","SR","4:02.56","SCIAC Championships","Apr 30, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","4:02.90","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","1500","2010","Outdoor"
"Chasan, Quinn","SR","4:03.19","Oxy Invitational","May 8, 2010","Stag","1500","2010","Outdoor"
"Cummins, Matt","JR-3","4:03.24","SCIAC Championships","Apr 30, 2010","Stag","1500","2010","Outdoor"
"Sutter, Brian","SR","4:03.83","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","1500","2010","Outdoor"
"Cummins, Matt","JR-3","4:03.88","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","1500","2010","Outdoor"
"Sutter, Brian","SR","4:04.24","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","1500","2010","Outdoor"
"Dinolov, Georgi","JR-3","4:04.29","4 Way Scoring Meet","Feb 20, 2010","Stag","1500","2010","Outdoor"
"Chasan, Quinn","SR","4:04.46","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","1500","2010","Outdoor"
"Doran, Zach","FR-1","4:05.25","Occidental Distance Carnival","Mar 12, 2010","Stag","1500","2010","Outdoor"
"Chasan, Quinn","SR","4:05.64","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","1500","2010","Outdoor"
"Sutter, Brian","SR","4:06.14","Spring Break Classic","Mar 20, 2010","Stag","1500","2010","Outdoor"
