"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Scheulen, Florian","SR-4","9:09.17","NCC Gregory Invitational","May 20, 2010","Stag","3000S","2010","Outdoor"
"Scheulen, Florian","SR-4","9:17.69","SCIAC Championships","Apr 30, 2010","Stag","3000S","2010","Outdoor"
"Scheulen, Florian","SR-4","9:23.12","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","3000S","2010","Outdoor"
"Scheulen, Florian","SR-4","9:24.88","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","3000S","2010","Outdoor"
"Dannenhauer, Rafer","SR","9:26.51","SCIAC Championships","Apr 30, 2010","Stag","3000S","2010","Outdoor"
"Scheulen, Florian","SR-4","9:41.54","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","3000S","2010","Outdoor"
"Dannenhauer, Rafer","SR","9:45.42","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","3000S","2010","Outdoor"
"Naden, Bennett","SR","9:45.44","SCIAC Quad Meet","Apr 17, 2010","Stag","3000S","2010","Outdoor"
"Dannenhauer, Rafer","SR","9:46.57","SCIAC Quad Meet","Apr 17, 2010","Stag","3000S","2010","Outdoor"
"Kopczynski, Brian","JR-3","9:47.54","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","3000S","2010","Outdoor"
"Dannenhauer, Rafer","SR","9:52.24","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","3000S","2010","Outdoor"
"Dannenhauer, Rafer","SR","9:57.62","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","3000S","2010","Outdoor"
"Naden, Bennett","SR","10:04.30","2010 Pomona-Pitzer Track & Field Invite (Invited Colleges)","Apr 10, 2010","Stag","3000S","2010","Outdoor"
"Kopczynski, Brian","JR-3","10:07.04","Cal/Nevada Collegiate Championship","Mar 27, 2010","Stag","3000S","2010","Outdoor"
"Sutter, Brian","SR","10:11.24","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","3000S","2010","Outdoor"
"Straube, Kramer","JR-3","10:20.45","SCIAC Quad Meet","Apr 17, 2010","Stag","3000S","2010","Outdoor"
"Stewart, Kyle","JR-3","10:35.31","SCIAC Championships","Apr 30, 2010","Stag","3000S","2010","Outdoor"
"Stewart, Kyle","JR-3","10:59.84","Cal Lu - CMS - La Verne - Whittier","Mar 6, 2010","Stag","3000S","2010","Outdoor"
"Evans, Dan","SO-2","11:28.04","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","3000S","2010","Outdoor"
"Stewart, Kyle","JR-3","11:41.75","Redlands-CMS-CLU-CIT Quad Meet","Apr 3, 2010","Stag","3000S","2010","Outdoor"
