"Athlete","Year","Mark","Conv","Meet","Meet_Date","Wind","Team","Event","Season","Location"
"Colton, Reny","SR","11.91m","39' 1""","Cal/Nevada Collegiate Championship","Mar 26, 2011",1.2,"Athena","TJ","2011","Outdoor"
"Colton, Reny","SR","11.78m","38' 7.75""","SCIAC Quad #1 at CMS","Mar 5, 2011",0.2,"Athena","TJ","2011","Outdoor"
"Colton, Reny","SR","11.71m","38' 5""","Cal/Nevada Collegiate Championship","Mar 26, 2011",0.7,"Athena","TJ","2011","Outdoor"
"Colton, Reny","SR","11.70m","38' 4.75""","Cal/Nevada Collegiate Championship","Mar 26, 2011",1,"Athena","TJ","2011","Outdoor"
"Colton, Reny","SR","11.70m","38' 4.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-3.3,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.67m","38' 3.5""","Univ. of Redlands SCIAC Quad","Apr 2, 2011",1.9,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.63m","38' 2""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.3,"Athena","TJ","2011","Outdoor"
"Colton, Reny","SR","11.57m","37' 11.5""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",-0.5,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.32m","37' 1.75""","SCIAC Quad #1 at CMS","Mar 5, 2011",1.4,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.31m","37' 1.25""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.5,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.28m","37' 0.25""","Oxy Invitational","May 7, 2011",0.8,"Athena","TJ","2011","Outdoor"
"Colton, Reny","SR","11.27m","36' 11.75""","2011 NCAA Division III Outdoor Track & Field Championships","May 26, 2011",0.7,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.26m","36' 11.5""","UC-Irvine Spring Break Invite","Mar 19, 2011",0,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.24m","36' 10.5""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.8,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.18m","36' 8.25""","Cal/Nevada Collegiate Championship","Mar 26, 2011",1.6,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.17m","36' 7.75""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.5,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.16m","36' 7.5""","Cal/Nevada Collegiate Championship","Mar 26, 2011",0.9,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.15m","36' 7""","2011 NCAA Division III Outdoor Track & Field Championships","May 26, 2011",-0.5,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.11m","36' 5.5""","2011 NCAA Division III Outdoor Track & Field Championships","May 26, 2011",-1.2,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.10m","36' 5""","UC-Irvine Spring Break Invite","Mar 19, 2011",1.5,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.07m","36' 4""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.8,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","11.03m","36' 2.25""","Oxy Invitational","May 7, 2011",0,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.99m","36' 0.75""","UC-Irvine Spring Break Invite","Mar 19, 2011",-0.1,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.83m","35' 6.5""","UC-Irvine Spring Break Invite","Mar 19, 2011",0.9,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.80m","35' 5.25""","2011 NCAA Division III Outdoor Track & Field Championships","May 26, 2011",-0.5,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.78m","35' 4.5""","Oxy Invitational","May 7, 2011",1,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.73m","35' 2.5""","UC-Irvine Spring Break Invite","Mar 19, 2011",0.7,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.70m","35' 1.25""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1.2,"Athena","TJ","2011","Outdoor"
"Erving, Ellyn","","10.65m","34' 11.25""","UC-Irvine Spring Break Invite","Mar 19, 2011",1.2,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","10.10m","33' 1.75""","2011 Pomona-Pitzer Invite","Apr 9, 2011",0.3,"Athena","TJ","2011","Outdoor"
"Zouai, Manon","","10.03m","32' 11""","2011 SCIAC Track & Field Championships","Apr 29, 2011",0.4,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","10.02m","32' 10.5""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.2,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.90m","32' 5.75""","2011 Pomona-Pitzer Invite","Apr 9, 2011",-2,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.89m","32' 5.5""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-1,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.88m","32' 5""","2011 SCIAC Track & Field Championships","Apr 29, 2011",-0.3,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.87m","32' 4.75""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",-0.4,"Athena","TJ","2011","Outdoor"
"Zouai, Manon","","9.85m","32' 3.75""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",1.2,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.73m","31' 11.25""","SCIAC Quad #1 at CMS","Mar 5, 2011",2,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.72m","31' 10.75""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"Athena","TJ","2011","Outdoor"
"Zouai, Manon","","9.69m","31' 9.5""","SCIAC Quad #1 at CMS","Mar 5, 2011",0.5,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.66m","31' 8.5""","2011 Pomona-Pitzer Invite","Apr 9, 2011",1.1,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.53m","31' 3.25""","2011 Pomona-Pitzer Invite","Apr 9, 2011",-2.3,"Athena","TJ","2011","Outdoor"
"Zouai, Manon","","9.33m","30' 7.5""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",0,"Athena","TJ","2011","Outdoor"
"Appleton, Nicole","FR-1","9.32m","30' 7""","Rossi Relays","Feb 26, 2011",1.2,"Athena","TJ","2011","Outdoor"
"Zouai, Manon","","9.20m","30' 2.25""","Caltech/CMS/La Verne/Pomona-Pitzer","Apr 16, 2011",-0.5,"Athena","TJ","2011","Outdoor"
