"Athlete","Year","Time","Meet","Meet_Date","Team","Event","Season","Location"
"Barnwell, Allison","JR","11:05.52","2012 Cal-Nevada Championships","Mar 31, 2012","Athena","3000S","2012","Outdoor"
"Barnwell, Allison","JR","11:06.37","Oxy Invitational Colleges","May 5, 2012","Athena","3000S","2012","Outdoor"
"Barnwell, Allison","JR","11:11.67","SCIAC 5 Way Meet Calu","Mar 24, 2012","Athena","3000S","2012","Outdoor"
"Barnwell, Allison","JR","11:11.97","2012 SCIAC Track & Field Championships","Apr 27, 2012","Athena","3000S","2012","Outdoor"
"Barnwell, Allison","JR","11:29.84","SCIAC Quad Meet 3","Apr 7, 2012","Athena","3000S","2012","Outdoor"
"Barnwell, Allison","JR","11:37.94","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","3000S","2012","Outdoor"
"Spees, Kaitlyn","SO","11:55.38","2012 SCIAC Track & Field Championships","Apr 27, 2012","Athena","3000S","2012","Outdoor"
"Spees, Kaitlyn","SO","12:06.26","SCIAC Quad Meet 3","Apr 7, 2012","Athena","3000S","2012","Outdoor"
"Wu, Taia","SO","12:19.21","SCIAC Quad Meet 3","Apr 7, 2012","Athena","3000S","2012","Outdoor"
"Spees, Kaitlyn","SO","12:24.98","SCIAC 5 Way Meet Calu","Mar 24, 2012","Athena","3000S","2012","Outdoor"
"Wu, Taia","SO","12:36.14","Chapman/CMS/Pomona-Pitzer/Redlands/Whittier","Mar 3, 2012","Athena","3000S","2012","Outdoor"
